,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RUVBL2,22.92231266234874,-2.736576489164738,0.30574507004419826,-8.950517137591591,3.538208404391606e-19,2.9749331947726855e-17
TAC4,34.002043615183574,4.51559043392318,0.5046239794939117,8.948426189440847,3.605864395985508e-19,3.013091676831962e-17
CITED2,24.125018111428584,-2.38884866414158,0.26697204174595873,-8.94793570337498,3.6219190162261703e-19,3.013091676831962e-17
TPPP3,66.2243741075094,-2.3900610286365795,0.26744763616010947,-8.93655693859172,4.014842784802643e-19,3.322388058181682e-17
SLC25A25,13.631076141280328,-3.3169608714572463,0.37171119292480076,-8.923489350314737,4.518232137897154e-19,3.719380309118165e-17
FAM180B,17.19186724910663,4.383159535468168,0.49138414496040544,8.92002637940496,4.661771579618649e-19,3.817553882622084e-17
SOD1,38.58555888543873,-2.0419485350151616,0.22896170964068296,-8.918297029750772,4.735130041554208e-19,3.8575362509511295e-17
CCR1,42.591447546870924,3.174639631513301,0.3568527038999444,8.896218514862138,5.778175934216107e-19,4.6830031037979305e-17
EEF1A1,2900.7693912230197,-1.6440954770871126,0.18513943390291274,-8.880309518226557,6.667457587381459e-19,5.376022340840958e-17
CCN1,16.801737650211777,-3.7444725719093985,0.4217152146824395,-8.879149818507415,6.737331431828461e-19,5.404646025644842e-17
JTB,18.246835153663874,-2.412924919431242,0.2719862236892579,-8.87149682326554,7.216920810449108e-19,5.759982025517327e-17
TUFM,22.558265545650634,-2.4470770770384513,0.2760229472391883,-8.865484198014636,7.617231862677336e-19,6.048774574589684e-17
MB,3.268219097047129,-4.338453532856012,0.48995147919120174,-8.854863628573609,8.37861856884898e-19,6.61995074160867e-17
CIB1,26.477651246460713,-3.533863743489327,0.3993813339074307,-8.848344785959407,8.882686325381025e-19,6.983123854698293e-17
SELENOH,10.897672042493578,-3.1834342686547337,0.3602319011739983,-8.837180322675197,9.816463006124334e-19,7.678818300760841e-17
IFITM3,229.8548014117223,2.3491205961136212,0.26607171669404633,8.828900062364973,1.0571012085819354e-18,8.228119951749393e-17
MTRNR2L11,2426.895325466872,-1.126135473167432,0.12761344304102112,-8.824583416383787,1.098680152137179e-18,8.509629572439834e-17
CCDC96,8.284116143125507,-2.9079740654942396,0.3296080241420831,-8.822522064088792,1.119101374454191e-18,8.625309269874141e-17
CD68,70.52461154235229,2.3161551230349744,0.26264369294276657,8.818620759873697,1.1587818759680942e-18,8.887574358949437e-17
DDX60,91.95483522418034,2.1979357233593855,0.24961766230225263,8.805209147011352,1.3060880302026926e-18,9.968748591687833e-17
TCTEX1D2,5.486111937960312,-3.772639123789446,0.4293337257771725,-8.787194895905929,1.5334062610638675e-18,1.1647220600341637e-16
JUN,47.87244717615222,-3.063808091345606,0.3491111065749687,-8.776025837171924,1.6935293709625342e-18,1.2801616490213427e-16
KRT5,43.46967017420474,-2.55663910978306,0.29187578671253855,-8.75933950732622,1.963977540456337e-18,1.4774937257700951e-16
PIGR,287.5090347491854,-1.745082139364717,0.1994682919511192,-8.748669386472507,2.1588313424110096e-18,1.6123475697804827e-16
MT-ND5,24377.27447810085,0.5086235851951959,0.058138955264175236,8.748412882276297,2.1637431611249883e-18,1.6123475697804827e-16
RPS20,133.72103391643452,-1.88276969102735,0.21628422009738957,-8.705071919623016,3.173734402391212e-18,2.353803113622501e-16
C12orf57,7.552616882707834,-3.132674664872451,0.3602026022930209,-8.69697954687194,3.4083484321858716e-18,2.51593720184312e-16
CES1,34.92509568525218,-3.0598461366910614,0.35269732999964737,-8.675557982517534,4.115276537298063e-18,3.023574439062497e-16
NOP53,24.41202307892594,-2.416983264017647,0.2787160759389147,-8.671847348149985,4.2516540400090765e-18,3.109244487026173e-16
BORCS7,13.495025155143741,-2.412570832356269,0.2783069373862833,-8.668741264640769,4.369235464652334e-18,3.180439315311512e-16
MRPL14,5.285807867043552,-3.2136326196878082,0.37196435062477373,-8.639625314334552,5.63976739818104e-18,4.08636234108758e-16
